targetId,comparatorId,outcomeId,outcomeName,type
783,784,199192,Abrasion and/or friction burn of trunk without infection,outcome
783,784,4088290,Absence of breast,outcome
783,784,4092879,Absent kidney,outcome
783,784,44783954,Acid reflux,outcome
783,784,75911,Acquired hallux valgus,outcome
783,784,137951,Acquired keratoderma,outcome
783,784,77965,Acquired trigger finger,outcome
783,784,376707,Acute conjunctivitis,outcome
783,784,4103640,Amputated foot,outcome
783,784,73241,Anal and rectal polyp,outcome
783,784,133655,Burn of forearm,outcome
783,784,73560,Calcaneal spur,outcome
783,784,434327,Cannabis abuse,outcome
783,784,140842,Changes in skin texture,outcome
783,784,81378,Chondromalacia of patella,outcome
783,784,432303,Cocaine abuse,outcome
783,784,4201390,Colostomy present,outcome
783,784,46269889,Complication due to Crohn's disease,outcome
783,784,134438,Contact dermatitis,outcome
783,784,78619,Contusion of knee,outcome
783,784,201606,Crohn's disease,outcome
783,784,76786,Derangement of knee,outcome
783,784,45757370,Disproportion of reconstructed breast,outcome
783,784,433111,Effects of hunger,outcome
783,784,4170770,Epidermoid cyst,outcome
783,784,4092896,Feces contents abnormal,outcome
783,784,259995,Foreign body in orifice,outcome
783,784,40481632,Ganglion cyst,outcome
783,784,4166231,Genetic predisposition,outcome
783,784,433577,Hammer toe,outcome
783,784,4231770,Hereditary thrombophilia,outcome
783,784,440329,Herpes zoster without complication,outcome
783,784,4012570,High risk sexual behavior,outcome
783,784,4012934,Homocystinuria,outcome
783,784,441788,Human papilloma virus infection,outcome
783,784,4201717,Ileostomy present,outcome
783,784,374375,Impacted cerumen,outcome
783,784,4344500,Impingement syndrome of shoulder region,outcome
783,784,139099,Ingrowing nail,outcome
783,784,196168,Irregular periods,outcome
783,784,432593,Kwashiorkor,outcome
783,784,434203,Late effect of contusion,outcome
783,784,438329,Late effect of motor vehicle accident,outcome
783,784,195873,Leukorrhea,outcome
783,784,4083487,Macular drusen,outcome
783,784,4103703,Melena,outcome
783,784,4209423,Nicotine dependence,outcome
783,784,377572,Noise effects on inner ear,outcome
783,784,40480893,Nonspecific tuberculin test reaction,outcome
783,784,438130,Opioid abuse,outcome
783,784,4091513,Passing flatus,outcome
783,784,4202045,Postviral fatigue syndrome,outcome
783,784,373478,Presbyopia,outcome
783,784,46286594,Problem related to lifestyle,outcome
783,784,439790,Psychalgia,outcome
783,784,81634,Ptotic breast,outcome
783,784,380706,Regular astigmatism,outcome
783,784,36713918,Somatic dysfunction of lumbar region,outcome
783,784,443172,"Splinter of face, without major open wound",outcome
783,784,81151,Sprain of ankle,outcome
783,784,72748,Strain of rotator cuff capsule,outcome
783,784,437264,Tobacco dependence syndrome,outcome
783,784,194083,Vaginitis and vulvovaginitis,outcome
783,784,140641,Verruca vulgaris,outcome
783,784,4115367,Wrist joint pain,outcome
783,784,440193,Wristdrop,outcome
